Product Name,Category,Brand,Price,Availability,Color,Weight,Dimensions,Material
iPhone 13,Electronics,Apple,999,In Stock,Black,174 g,146.7 x 71.5 x 7.65 mm,"Glass and Ceramic Shield front, Ceramic Shield back, stainless steel frame"
Samsung Galaxy S21,Electronics,Samsung,799,In Stock,Phantom Gray,171 g,151.7 x 71.2 x 7.9 mm,"Gorilla Glass Victus front and back, aluminum frame"
Sony WH-1000XM4,Electronics,Sony,349,In Stock,Black,254 g,7.27 x 9.94 x 3.03 inches,Plastic and Metal
Bose QuietComfort 35 II,Electronics,Bose,299,In Stock,Black,235 g,3.2 x 6.7 x 7.1 inches,Plastic
MacBook Pro M1,Electronics,Apple,1299,Out of Stock,Space Gray,1.4 kg,304.1 x 212.4 x 15.6 mm,Aluminum
Lenovo ThinkPad X1 Carbon,Electronics,Lenovo,1199,In Stock,Black,1.09 kg,323 x 217 x 14.95 mm,Carbon fiber reinforced plastic
Dell XPS 13,Electronics,Dell,1099,In Stock,Platinum Silver,1.2 kg,296 x 199 x 14.8 mm,Aluminum
Asus ZenBook Pro Duo,Electronics,Asus,2499,In Stock,Celestial Blue,2.5 kg,359 x 246 x 24 mm,Aluminum alloy
HP Spectre x360,Electronics,HP,1199,In Stock,Nightfall Black,1.27 kg,306.5 x 194.6 x 16.9 mm,Aluminum
LG OLED CX,Electronics,LG,1999,In Stock,Black,27.8 kg,1228 x 706 x 47 mm,"Metal, Plastic"
Nike Air Zoom Pegasus 38,Clothing,Nike,120,In Stock,Black/White/Anthracite,286 g,N/A,"Mesh and synthetic upper, Rubber sole"
Adidas Ultra Boost 21,Clothing,Adidas,180,In Stock,Core Black/Scarlet/Solar Red,309 g,N/A,"Textile and synthetic upper, Rubber sole"
Under Armour HOVR Phantom 2,Clothing,Under Armour,140,In Stock,Black/White/White,292 g,N/A,"Textile and synthetic upper, Rubber sole"
New Balance Fresh Foam 1080v11,Clothing,New Balance,150,In Stock,Black/Magnet,285 g,N/A,"Mesh and synthetic upper, Rubber sole"
Lululemon Align Pant II,Clothing,Lululemon,98,In Stock,Black,212 g,N/A,Nulu fabric
Patagonia Better Sweater,Clothing,Patagonia,139,In Stock,Navy Blue,499 g,N/A,Polyester fleece
The North Face Denali Jacket,Clothing,The North Face,179,In Stock,Black,800 g,N/A,Recycled polyester fleece
Columbia Benton Springs Fleece Jacket,Clothing,Columbia,60,In Stock,Charcoal Heather,454 g,N/A,Polyester MTR filament fleece
Levi's 501 Original Fit Jeans,Clothing,Levi's,69,In Stock,Black,750 g,N/A,Cotton
Wrangler Authentics Men's Classic Straight Leg Jeans,Clothing,Wrangler,25,In Stock,Dark Indigo,680 g,N/A,Cotton
Calvin Klein Boxer Briefs,Clothing,Calvin Klein,30,In Stock,Black,90 g,N/A,Cotton and elastane
Hanes ComfortBlend Crewneck T-Shirt,Clothing,Hanes,10,In Stock,White,200 g,N/A,Cotton and polyester
Ralph Lauren Polo Shirt,Clothing,Ralph Lauren,98,In Stock,White,220 g,N/A,Cotton
